Decision_Tree: 18 versions x 5 iterations
Version,Sensitivity(Mean),Sensitivity(StDev),Fallout(Mean),Fallout(StDev),Specificity(Mean),Specificity(StDev),Miss_Rate(Mean),Miss_Rate(StDev),Test_Error(Mean),Test_Error(StDev),AUC(Mean),AUC(StDev),Exec_Time(Mean),Exec_Time(StDev)
25,0.8673,0.0111,0.0004,0.0,0.9996,0.0,0.1327,0.0111,0.0006,0.0,0.8863,0.0052,208.6822,45.9601
26,0.8766,0.0217,0.0004,0.0,0.9996,0.0,0.1234,0.0217,0.0006,0.0,0.8849,0.0044,273.0714,15.0955
27,0.8986,0.0035,0.0004,0.0,0.9996,0.0,0.1014,0.0035,0.0006,0.0001,0.8857,0.0019,227.1368,51.2187
28,0.8984,0.0059,0.0004,0.0,0.9996,0.0,0.1016,0.0059,0.0005,0.0001,0.885,0.0015,260.8114,27.8141
29,0.9172,0.0101,0.0004,0.0,0.9996,0.0,0.0828,0.0101,0.0005,0.0,0.8843,0.0024,204.0114,9.9486
30,0.9218,0.0043,0.0004,0.0,0.9996,0.0,0.0782,0.0043,0.0005,0.0,0.885,0.0015,301.5846,20.4479
31,0.9035,0.0093,0.0004,0.0,0.9996,0.0,0.0965,0.0093,0.0005,0.0001,0.8884,0.0056,231.6058,39.7287
32,0.9061,0.0048,0.0004,0.0,0.9996,0.0,0.0939,0.0048,0.0005,0.0,0.887,0.0074,280.644,17.1375
33,0.92,0.0032,0.0004,0.0,0.9996,0.0,0.08,0.0032,0.0005,0.0,0.8829,0.0039,231.55,32.7015
34,0.9171,0.0062,0.0004,0.0,0.9996,0.0,0.0829,0.0062,0.0005,0.0,0.8836,0.0028,293.7516,10.9368
35,0.936,0.0032,0.0004,0.0,0.9996,0.0,0.064,0.0032,0.0005,0.0,0.8877,0.0034,283.4212,2.6038
36,0.931,0.0044,0.0004,0.0,0.9996,0.0,0.069,0.0044,0.0005,0.0,0.8857,0.0019,326.259,47.5704
Best version of Random_Forest is test n°29
With 4 parameters:
Impurity: entropy
Max_Depth: 6
Max_Bins: 64
Num_Trees: 200
-
Mean and St_Dev of the whole Random_Forest classifier metrics are as follows:
Sensitivity: Mean = 0.8988; St_Dev = 0.0237
Fallout: Mean = 0.0004; St_Dev = 0.0
Specificity: Mean = 0.9996; St_Dev = 0.0
Miss_Rate: Mean = 0.1012; St_Dev = 0.0237
Test_Error: Mean = 0.0005; St_Dev = 0.0001
AUC: Mean = 0.8833; St_Dev = 0.0032
Exec_Time: Mean = 237.6683; St_Dev = 37.2572
#############################
Logistic_Regression: 54 versions x 5 iterations
Version,Sensitivity(Mean),Sensitivity(StDev),Fallout(Mean),Fallout(StDev),Specificity(Mean),Specificity(StDev),Miss_Rate(Mean),Miss_Rate(StDev),Test_Error(Mean),Test_Error(StDev),AUC(Mean),AUC(StDev),Exec_Time(Mean),Exec_Time(StDev)
1,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,147.0806,67.4274
2,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,153.553,94.8325
3,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,151.8372,58.1982
4,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,133.8188,82.2757
5,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,134.3028,77.8206
6,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,153.3346,58.035
7,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,154.0922,89.1728
8,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,157.6554,84.027
9,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,155.638,59.3256
10,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,135.6292,72.999
11,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,129.312,85.7395
12,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,151.6192,60.2161
13,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,155.6454,80.4442
14,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,139.226,58.0041
15,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,141.435,90.6595
16,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,142.0092,80.3217
17,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,152.7724,55.8349
18,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,153.7914,91.6214
19,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,154.612,64.4964
20,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,141.7176,64.6603
21,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,142.4856,83.3897
22,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,139.9468,79.8452
23,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,151.6104,53.2967
24,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,155.7432,74.9544
25,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,154.6878,89.8898
26,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,156.294,62.6816
27,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,140.3532,71.9668
28,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,144.6578,88.7886
29,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,133.8086,61.2205
30,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,156.51,83.4437
31,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,154.9894,87.3872
32,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,141.4428,59.6065
33,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,126.695,91.8649
34,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,149.3072,51.8583
35,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,154.3234,91.0039
36,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,137.448,43.6527
37,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,137.6778,92.355
38,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,144.1002,41.6477
39,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,154.3152,94.4239
40,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,150.6998,50.4234
41,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,134.7764,81.4424
42,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,132.2726,72.311
43,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,153.6642,69.0042
44,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,155.4638,75.9146
45,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,132.0442,64.5827
46,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,131.5892,76.9254
47,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,150.7222,55.7025
48,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,152.9332,88.4989
49,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,140.9582,41.5525
50,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,131.8798,94.0353
51,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,141.8768,28.9292
52,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,153.9536,93.1678
53,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,139.5378,41.4661
54,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,135.9168,92.032
Best version of Logistic_Regression is test n°33
With 4 parameters:
Max_Iter: 100
Reg_Param: 0.1
Elastic_Net_Param: 0.8
Aggregation_Depth: 3
-
Mean and St_Dev of the whole Logistic_Regression classifier metrics are as follows:
Sensitivity: Mean = 0.0; St_Dev = 0.0
Fallout: Mean = 0.0017; St_Dev = 0.0
Specificity: Mean = 0.9983; St_Dev = 0.0
Miss_Rate: Mean = 0.0; St_Dev = 0.0
Test_Error: Mean = 0.0017; St_Dev = 0.0
AUC: Mean = 0.5; St_Dev = 0.0
Exec_Time: Mean = 145.4401; St_Dev = 9.0349
#############################
Linear_SVC: 18 versions x 5 iterations
Version,Sensitivity(Mean),Sensitivity(StDev),Fallout(Mean),Fallout(StDev),Specificity(Mean),Specificity(StDev),Miss_Rate(Mean),Miss_Rate(StDev),Test_Error(Mean),Test_Error(StDev),AUC(Mean),AUC(StDev),Exec_Time(Mean),Exec_Time(StDev)
1,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,627.4936,38.8265
2,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,639.1164,45.5442
3,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,643.0164,53.9329
4,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,681.3934,75.2711
5,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,694.805,74.9987
6,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,704.9826,77.7167
7,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,823.557,40.1555
8,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,845.808,8.6279
9,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,868.5044,10.1172
10,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,1098.0198,51.1319
11,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,1121.5238,45.1297
12,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,1127.0084,35.4568
13,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,1117.9312,45.5382
14,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,1123.7138,29.3895
15,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,1154.69,17.9408
16,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,1262.2646,65.303
17,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,1286.598,79.2826
18,0.0,0.0,0.0017,0.0,0.9983,0.0,0.0,0.0,0.0017,0.0,0.5,0.0,1300.6796,69.3067
Best version of Linear_SVC is test n°1
With 3 parameters:
Max_Iter: 100
Reg_Param: 0.5
Aggregation_Depth: 4
-
Mean and St_Dev of the whole Linear_SVC classifier metrics are as follows:
Sensitivity: Mean = 0.0; St_Dev = 0.0
Fallout: Mean = 0.0017; St_Dev = 0.0
Specificity: Mean = 0.9983; St_Dev = 0.0
Miss_Rate: Mean = 0.0; St_Dev = 0.0
Test_Error: Mean = 0.0017; St_Dev = 0.0
AUC: Mean = 0.5; St_Dev = 0.0
Exec_Time: Mean = 951.1726; St_Dev = 247.6225
#############################
