Decision_Tree MLLib: 18 versions x 10 iterations
Version,Sensitivity(Mean),Sensitivity(StDev),Fallout(Mean),Fallout(StDev),Specificity(Mean),Specificity(StDev),Miss_Rate(Mean),Miss_Rate(StDev),Test_Error(Mean),Test_Error(StDev),AUC(Mean),AUC(StDev),Exec_Time(Mean),Exec_Time(StDev)
12,0.9812,0.0,0.1071,0.0,0.8929,0.0,0.0188,0.0,0.0493,0.0,0.9536,0.0,38.1408,0.2758
13,0.9885,0.0,0.1181,0.0,0.8819,0.0,0.0115,0.0,0.0493,0.0,0.9577,0.0,8.696,0.2045
14,0.9885,0.0,0.1241,0.0,0.8759,0.0,0.0115,0.0,0.0517,0.0,0.9559,0.0,20.5095,0.3654
15,0.9812,0.0,0.1071,0.0,0.8929,0.0,0.0188,0.0,0.0493,0.0,0.9536,0.0,9.3841,0.2627
16,0.9812,0.0,0.1071,0.0,0.8929,0.0,0.0188,0.0,0.0493,0.0,0.9536,0.0,21.3861,0.3427
17,0.9812,0.0,0.1071,0.0,0.8929,0.0,0.0188,0.0,0.0493,0.0,0.9536,0.0,10.2324,0.2297
18,0.9812,0.0,0.1071,0.0,0.8929,0.0,0.0188,0.0,0.0493,0.0,0.9536,0.0,22.9434,0.5471
19,0.9886,0.0,0.1056,0.0,0.8944,0.0,0.0114,0.0,0.0443,0.0,0.9613,0.0,13.3276,0.3141
20,0.9886,0.0,0.1056,0.0,0.8944,0.0,0.0114,0.0,0.0443,0.0,0.9613,0.0,34.2034,0.8283
21,0.9846,0.0,0.137,0.0,0.863,0.0,0.0154,0.0,0.0591,0.0,0.9484,0.0,14.0564,0.2925
22,0.9846,0.0,0.137,0.0,0.863,0.0,0.0154,0.0,0.0591,0.0,0.9484,0.0,34.9098,0.2079
23,0.9848,0.0,0.1127,0.0,0.8873,0.0,0.0152,0.0,0.0493,0.0,0.9556,0.0,15.8698,0.2827
24,0.9848,0.0,0.1127,0.0,0.8873,0.0,0.0152,0.0,0.0493,0.0,0.9556,0.0,38.4513,0.6753
25,0.9885,0.0,0.1241,0.0,0.8759,0.0,0.0115,0.0,0.0517,0.0,0.9559,0.0,8.9937,0.2767
26,0.9885,0.0,0.1181,0.0,0.8819,0.0,0.0115,0.0,0.0493,0.0,0.9577,0.0,19.4278,0.7986
27,0.9848,0.0,0.1127,0.0,0.8873,0.0,0.0152,0.0,0.0493,0.0,0.9556,0.0,7.8017,0.5366
28,0.9848,0.0,0.1127,0.0,0.8873,0.0,0.0152,0.0,0.0493,0.0,0.9556,0.0,18.1202,0.3963
29,0.9848,0.0,0.1127,0.0,0.8873,0.0,0.0152,0.0,0.0493,0.0,0.9556,0.0,8.5467,0.1687
30,0.9848,0.0,0.1127,0.0,0.8873,0.0,0.0152,0.0,0.0493,0.0,0.9556,0.0,19.6424,0.1779
31,0.985,0.0,0.0935,0.0,0.9065,0.0,0.015,0.0,0.0419,0.0,0.9611,0.0,10.7288,0.5122
32,0.9886,0.0,0.1056,0.0,0.8944,0.0,0.0114,0.0,0.0443,0.0,0.9613,0.0,28.7854,0.5959
33,0.9811,0.0,0.1135,0.0,0.8865,0.0,0.0189,0.0,0.0517,0.0,0.9518,0.0,12.8984,0.9618
34,0.9848,0.0,0.1127,0.0,0.8873,0.0,0.0152,0.0,0.0493,0.0,0.9556,0.0,32.5566,0.4686
35,0.9774,0.0,0.1206,0.0,0.8794,0.0,0.0226,0.0,0.0567,0.0,0.9461,0.0,14.9529,0.2088
36,0.9774,0.0,0.1143,0.0,0.8857,0.0,0.0226,0.0,0.0542,0.0,0.9479,0.0,36.8622,0.1318
Best version of Gradient Boosted Tree is test n°0
With 4 parameters:
Loss: leastAbsoluteError
Max_Depth: 5
Max_Bins: 128
Num_Iterations: 100
-
Mean and St_Dev of the whole Gradient Boosted Tree classifier metrics are as follows:
Sensitivity: Mean = 0.9851; St_Dev = 0.0034
Fallout: Mean = 0.1108; St_Dev = 0.01
Specificity: Mean = 0.8892; St_Dev = 0.01
Miss_Rate: Mean = 0.0149; St_Dev = 0.0034
Test_Error: Mean = 0.0485; St_Dev = 0.0046
AUC: Mean = 0.9564; St_Dev = 0.0047
Exec_Time: Mean = 19.6376; St_Dev = 9.9999
#############################
Logistic Regression: 54 versions x 10 iterations
Version,Sensitivity(Mean),Sensitivity(StDev),Fallout(Mean),Fallout(StDev),Specificity(Mean),Specificity(StDev),Miss_Rate(Mean),Miss_Rate(StDev),Test_Error(Mean),Test_Error(StDev),AUC(Mean),AUC(StDev),Exec_Time(Mean),Exec_Time(StDev)
1,1.0,0.0,0.1667,0.0,0.8333,0.0,0.0,0.0,0.064,0.0,0.9529,0.0,1.1903,0.3944
2,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,1.0339,0.0673
3,1.0,0.0,0.1216,0.0,0.8784,0.0,0.0,0.0,0.0443,0.0,0.9674,0.0,1.0138,0.0744
4,1.0,0.0,0.1667,0.0,0.8333,0.0,0.0,0.0,0.064,0.0,0.9529,0.0,0.9507,0.0934
5,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,1.015,0.0708
6,1.0,0.0,0.1216,0.0,0.8784,0.0,0.0,0.0,0.0443,0.0,0.9674,0.0,1.0685,0.1092
7,1.0,0.0,0.1667,0.0,0.8333,0.0,0.0,0.0,0.064,0.0,0.9529,0.0,0.9745,0.0781
8,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,1.0126,0.055
9,1.0,0.0,0.1216,0.0,0.8784,0.0,0.0,0.0,0.0443,0.0,0.9674,0.0,1.0058,0.1231
10,1.0,0.0,0.1667,0.0,0.8333,0.0,0.0,0.0,0.064,0.0,0.9529,0.0,0.9744,0.0635
11,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,0.9934,0.0896
12,1.0,0.0,0.1216,0.0,0.8784,0.0,0.0,0.0,0.0443,0.0,0.9674,0.0,1.0076,0.0714
13,1.0,0.0,0.1667,0.0,0.8333,0.0,0.0,0.0,0.064,0.0,0.9529,0.0,0.9344,0.1095
14,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,0.9998,0.1427
15,1.0,0.0,0.1216,0.0,0.8784,0.0,0.0,0.0,0.0443,0.0,0.9674,0.0,1.0031,0.0716
16,1.0,0.0,0.1667,0.0,0.8333,0.0,0.0,0.0,0.064,0.0,0.9529,0.0,0.9083,0.0692
17,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,1.0057,0.0879
18,1.0,0.0,0.1216,0.0,0.8784,0.0,0.0,0.0,0.0443,0.0,0.9674,0.0,1.0734,0.1132
19,1.0,0.0,0.1667,0.0,0.8333,0.0,0.0,0.0,0.064,0.0,0.9529,0.0,0.9719,0.0901
20,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,1.024,0.1252
21,1.0,0.0,0.1216,0.0,0.8784,0.0,0.0,0.0,0.0443,0.0,0.9674,0.0,0.9598,0.0383
22,1.0,0.0,0.1667,0.0,0.8333,0.0,0.0,0.0,0.064,0.0,0.9529,0.0,0.9542,0.0285
23,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,1.0256,0.0947
24,1.0,0.0,0.1216,0.0,0.8784,0.0,0.0,0.0,0.0443,0.0,0.9674,0.0,1.0277,0.0785
25,1.0,0.0,0.1667,0.0,0.8333,0.0,0.0,0.0,0.064,0.0,0.9529,0.0,0.9645,0.0619
26,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,1.0177,0.0391
27,1.0,0.0,0.1216,0.0,0.8784,0.0,0.0,0.0,0.0443,0.0,0.9674,0.0,0.9921,0.0734
28,1.0,0.0,0.1667,0.0,0.8333,0.0,0.0,0.0,0.064,0.0,0.9529,0.0,0.9516,0.0342
29,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,0.9759,0.0637
30,1.0,0.0,0.1216,0.0,0.8784,0.0,0.0,0.0,0.0443,0.0,0.9674,0.0,1.0078,0.0347
31,1.0,0.0,0.1667,0.0,0.8333,0.0,0.0,0.0,0.064,0.0,0.9529,0.0,0.9536,0.0517
32,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,0.9789,0.0673
33,1.0,0.0,0.1216,0.0,0.8784,0.0,0.0,0.0,0.0443,0.0,0.9674,0.0,1.0573,0.1156
34,1.0,0.0,0.1667,0.0,0.8333,0.0,0.0,0.0,0.064,0.0,0.9529,0.0,0.9814,0.0611
35,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,1.016,0.0644
36,1.0,0.0,0.1216,0.0,0.8784,0.0,0.0,0.0,0.0443,0.0,0.9674,0.0,0.9835,0.0704
37,1.0,0.0,0.1667,0.0,0.8333,0.0,0.0,0.0,0.064,0.0,0.9529,0.0,0.9823,0.1052
38,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,0.9714,0.0258
39,1.0,0.0,0.1216,0.0,0.8784,0.0,0.0,0.0,0.0443,0.0,0.9674,0.0,1.0254,0.0979
40,1.0,0.0,0.1667,0.0,0.8333,0.0,0.0,0.0,0.064,0.0,0.9529,0.0,0.9821,0.0816
41,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,1.0014,0.0373
42,1.0,0.0,0.1216,0.0,0.8784,0.0,0.0,0.0,0.0443,0.0,0.9674,0.0,1.0135,0.064
43,1.0,0.0,0.1667,0.0,0.8333,0.0,0.0,0.0,0.064,0.0,0.9529,0.0,0.9662,0.0619
44,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,0.9665,0.0405
45,1.0,0.0,0.1216,0.0,0.8784,0.0,0.0,0.0,0.0443,0.0,0.9674,0.0,1.0039,0.0777
46,1.0,0.0,0.1667,0.0,0.8333,0.0,0.0,0.0,0.064,0.0,0.9529,0.0,0.9656,0.0704
47,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,1.0087,0.0592
48,1.0,0.0,0.1216,0.0,0.8784,0.0,0.0,0.0,0.0443,0.0,0.9674,0.0,0.988,0.0583
49,1.0,0.0,0.1667,0.0,0.8333,0.0,0.0,0.0,0.064,0.0,0.9529,0.0,0.9597,0.0521
50,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,0.9874,0.1011
51,1.0,0.0,0.1216,0.0,0.8784,0.0,0.0,0.0,0.0443,0.0,0.9674,0.0,0.9966,0.0556
52,1.0,0.0,0.1667,0.0,0.8333,0.0,0.0,0.0,0.064,0.0,0.9529,0.0,0.9276,0.0603
53,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,0.9811,0.0449
54,1.0,0.0,0.1216,0.0,0.8784,0.0,0.0,0.0,0.0443,0.0,0.9674,0.0,1.0097,0.072
Best version of Logistic Regression is test n°20
With 4 parameters:
Max_Iter: 50
Reg_Param: 0.5
Elastic_Net_Param: 0.8
Aggregation_Depth: 3
-
Mean and St_Dev of the whole Logistic Regression classifier metrics are as follows:
Sensitivity: Mean = 1.0; St_Dev = 0.0
Fallout: Mean = 0.1443; St_Dev = 0.0186
Specificity: Mean = 0.8557; St_Dev = 0.0186
Miss_Rate: Mean = 0.0; St_Dev = 0.0
Test_Error: Mean = 0.0542; St_Dev = 0.0081
AUC: Mean = 0.9601; St_Dev = 0.006
Exec_Time: Mean = 0.9953; St_Dev = 0.0423
#############################
LinearSVC: 18 versions x 10 iterations
Version,Sensitivity(Mean),Sensitivity(StDev),Fallout(Mean),Fallout(StDev),Specificity(Mean),Specificity(StDev),Miss_Rate(Mean),Miss_Rate(StDev),Test_Error(Mean),Test_Error(StDev),AUC(Mean),AUC(StDev),Exec_Time(Mean),Exec_Time(StDev)
1,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,6.7235,0.2562
2,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,6.5441,0.1826
3,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,6.7157,0.1362
4,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,6.5976,0.2213
5,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,6.7423,0.2045
6,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,6.5122,0.2772
7,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,6.6905,0.258
8,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,6.7035,0.196
9,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,6.6718,0.2247
10,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,6.5741,0.2586
11,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,6.7015,0.2292
12,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,6.6809,0.1362
13,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,6.6085,0.1577
14,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,6.6582,0.2058
15,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,6.8085,0.2969
16,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,6.6999,0.1892
17,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,6.6771,0.2489
18,1.0,0.0,0.1447,0.0,0.8553,0.0,0.0,0.0,0.0542,0.0,0.9601,0.0,6.7451,0.2767
Best version of LinearSVC is test n°5
With 3 parameters:
Max_Iter: 50
Reg_Param: 0.3
Aggregation_Depth: 3
-
Mean and St_Dev of the whole LinearSVC classifier metrics are as follows:
Sensitivity: Mean = 1.0; St_Dev = 0.0
Fallout: Mean = 0.1447; St_Dev = 0.0
Specificity: Mean = 0.8553; St_Dev = 0.0
Miss_Rate: Mean = 0.0; St_Dev = 0.0
Test_Error: Mean = 0.0542; St_Dev = 0.0
AUC: Mean = 0.9601; St_Dev = 0.0
Exec_Time: Mean = 6.6697; St_Dev = 0.0758
#############################
